Date,Description,Comments,Check Number,Amount,Balance
6/11/2022,WITHDRAWAL Debit Card<br />SHELL OIL *53508 CALEDONIA MI<br />Date 06/10/22 *5216*3718234 5542<br />%% Card 30 #2,,,100.00,$100.00
6/11/2022,WITHDRAWAL Debit Card<br />MEIJER # 199 877-363-4537 MI<br />Date 06/10/22 *6216*0405439 5411<br />%% Card 30 #2,,,64.64,$100.00
6/11/2022,WITHDRAWAL Debit Card<br />GLAD TIDINGS ASSEMBL GLADTIDINGSAG MI<br />Date 06/11/22 *4216*3764892 8661<br />%% Card 30 #2,,,125.00,$100.00
6/11/2022,WITHDRAWAL Debit Card<br />CHICK-FIL-A #03769 616-656-6000 MI<br />Date 06/10/22 *3216*7086727 5814<br />%% Card 30 #2,,,18.74,$100.00
6/12/2022,WITHDRAWAL Debit Card<br />TST* Dr. Rolfs Barbeque Muskegon MI<br />Date 06/11/22 *6216*2346303 5812<br />%% Card 30 #1,,,33.65,$100.00
6/12/2022,WITHDRAWAL Debit Card<br />RYKES BAKERY MUSKEGON MI<br />Date 06/11/22 *2216*0945632 5462<br />%% Card 30 #2,,,20.00,$100.00
6/12/2022,WITHDRAWAL Debit Card<br />MEIJER # 071 877-363-4537 MI<br />Date 06/11/22 *6216*8340983 5411<br />%% Card 30 #2,,,2.19,$100.00
6/13/2022,WITHDRAWAL #*145798<br />HORROCKS MARKET 4455 BRETON RD SE KENTWOOD<br />MI<br />%% Card 30 #2,,,29.71,$100.00
6/13/2022,Withdrawal Bill Payment #*100195<br />Amazon Prime*UM3OO4OD3 Amzn.com/bill WA<br />%% Card 30 #1,,,7.94,$100.00
6/14/2022,WITHDRAWAL Debit Card<br />BIGGBY COFFEE STORE 423 KENTWOOD MI<br />Date 06/13/22 *0216*5052350 5814<br />%% Card 30 #1,,,48.27,$100.00
6/14/2022,"WITHDRAWAL, DRAFT NUMBER 103<br />WITHDRAWAL, DRAFT NUMBER 103",,103,135.00,$100.00
6/15/2022,WITHDRAWAL #*013466<br />FAMILY FARE 108 9479 Riley St Zeeland MI<br />%% Card 30 #1,,,8.15,$100.00
6/15/2022,WITHDRAWAL Debit Card<br />SQ *DRIP ZEELAND MI<br />Date 06/15/22 *5216*5479266 5814<br />%% Card 30 #1,,,4.99,$100.00
6/16/2022,WITHDRAWAL Debit Card<br />MCDONALD'S F10055 HUDSONVILLE MI<br />Date 06/15/22 *3216*9935422 5814<br />%% Card 30 #1,,,2.63,$100.00
6/16/2022,WITHDRAWAL Debit Card<br />FAMILY FARE QUICK STOP ZEELAND MI<br />Date 06/15/22 *0216*0314799 5542<br />%% Card 30 #1,,,57.68,$100.00
6/16/2022,WITHDRAWAL Debit Card<br />TOMMYS-EXPRESS.COM 161-67960459 MI<br />Date 06/16/22 *6216*3729036 7542<br />%% Card 30 #1,,,10.00,$100.00
6/17/2022,WITHDRAWAL Debit Card<br />DTE Energy 800-4774747 MI<br />Date 06/16/22 *1216*0845785 4900<br />%% Card 30 #2,,,24.38,$100.00
6/17/2022,WITHDRAWAL Debit Card<br />VILLAGE INN PIZZA AND S GRAND RAPIDS MI<br />Date 06/17/22 *9216*8348746 5812<br />%% Card 30 #1,,,29.03,$100.00
6/17/2022,Withdrawal Bill Payment #*438913<br />HOLY TRINITY EVANGELICA 616-538-1122 MI<br />%% Card 30 #1,,,87.55,$100.00
6/17/2022,WITHDRAWAL #*955405<br />MEIJER 199 CALEDONIA MI<br />%% Card 30 #1,,,74.63,$100.00
6/18/2022,WITHDRAWAL Debit Card<br />MCDONALD'S F11505 GRAND RAPIDS MI<br />Date 06/17/22 *3216*1635224 5814<br />%% Card 30 #1,,,4.44,$100.00
6/18/2022,Withdrawal Bill Payment #*100754<br />COMCAST 800-934-6489 MI<br />%% Card 30 #2,,,60.00,$100.00
6/19/2022,WITHDRAWAL Debit Card<br />TOMMY BRANNS STEAKHOUS 616-5345421 MI<br />Date 06/18/22 *7217*7832649 5812<br />%% Card 30 #2,,,38.90,$100.00
6/19/2022,WITHDRAWAL Debit Card<br />SICILIANOS MARKET GRAND RAPIDS MI<br />Date 06/18/22 *5217*0500624 5499<br />%% Card 30 #2,,,66.49,$100.00
6/21/2022,WITHDRAWAL Debit Card<br />PETRINO'S PIZZA ZEELAND ZEELAND MI<br />Date 06/20/22 *3217*6300255 5812<br />%% Card 30 #1,,,6.00,$100.00
6/21/2022,WITHDRAWAL #*786057<br />NWS TOPTHIS 002664 6333 KALAMAZOO AVE #800<br />GRAND RAPIDS MI<br />%% Card 30 #1,,,5.89,$100.00
6/21/2022,WITHDRAWAL CHASE CREDIT CRD<br />TYPE: AUTOPAY  ID: *9224<br />CO: CHASE CREDIT CRD<br />%% ACH ECC PPD<br />%% ACH Trace *022818790,,,15.49,$100.00
6/21/2022,WITHDRAWAL Debit Card<br />CHICK-FIL-A #03769 616-656-6000 MI<br />Date 06/20/22 *3217*3756073 5814<br />%% Card 30 #2,,,9.64,$100.00
6/22/2022,WITHDRAWAL #*231859<br />SQ *DRIP SQUARE PURCHASE ZEELAND MI<br />%% Card 30 #1,,,8.00,$100.00
6/22/2022,Withdrawal Bill Payment #*000016<br />TOMMYS EXPRESS HTTPSWWW.TOMM MI<br />%% Card 30 #2,,,24.99,$100.00
6/22/2022,WITHDRAWAL Debit Card<br />MEIJER # 199 877-363-4537 MI<br />Date 06/21/22 *6217*3094313 5411<br />%% Card 30 #2,,,275.37,$100.00
6/22/2022,WITHDRAWAL #*780518<br />EAST 44TH ST AGO KENTWOOD MI<br />%% Card 30 #1,,,55.27,$100.00
6/22/2022,WITHDRAWAL Debit Card<br />GOOGLE *Audible g.co/helppay# CA<br />Date 06/22/22 *6217*4768556 5734<br />%% Card 30 #1,,,42.39,$100.00
6/24/2022,WITHDRAWAL Debit Card<br />BIGGBY COFFEE STORE 423 KENTWOOD MI<br />Date 06/23/22 *0217*9440675 5814<br />%% Card 30 #1,,,45.63,$100.00
6/24/2022,WITHDRAWAL #*768776<br />EAST 44TH ST AGO KENTWOOD MI<br />%% Card 30 #1,,,2.69,$100.00
6/25/2022,WITHDRAWAL #*013262<br />HORROCKS MARKET 4455 BRETON RD SE KENTWOOD<br />MI<br />%% Card 30 #1,,,21.96,$100.00
6/26/2022,WITHDRAWAL Debit Card<br />RED ROBIN KENTWOOD KENTWOOD MI<br />Date 06/25/22 *6217*3213337 5812<br />%% Card 30 #2,,,27.72,$100.00
6/26/2022,WITHDRAWAL Debit Card<br />GRAND RAPIDS FIRST 616-5312100 MI<br />Date 06/25/22 *8217*7346883 8398<br />%% Card 30 #2,,,160.29,$100.00
6/27/2022,WITHDRAWAL Debit Card<br />TST* Saugatuck Brewing Grand Rapids MI<br />Date 06/26/22 *6217*1061045 5813<br />%% Card 30 #2,,,35.91,$100.00
6/27/2022,WITHDRAWAL Debit Card<br />BIGGBY COFFEE 637 WYOMING MI<br />Date 06/26/22 *0217*3437939 5814<br />%% Card 30 #1,,,7.20,$100.00
6/27/2022,WITHDRAWAL #12EI2PWSNA20<br />AMAZON.COM SEATTLE WA<br />%% Card 30 #1,,,130.46,$100.00
6/28/2022,WITHDRAWAL Debit Card<br />STREATS TACO KITCHEN ZEELAND MI<br />Date 06/27/22 *6217*1331686 5812<br />%% Card 30 #1,,,17.07,$100.00
6/28/2022,WITHDRAWAL #*983579<br />MEIJER 050 GAS STATION GRAND RAPIDS MI<br />%% Card 30 #1,,,55.46,$100.00
6/28/2022,WITHDRAWAL #*584743<br />MEIJER 050 GRAND RAPIDS MI<br />%% Card 30 #1,,,14.95,$100.00
7/1/2022,WITHDRAWAL Debit Card<br />TWO GUYS BREWING WYOMING MI<br />Date 06/30/22 *9218*8472398 5813<br />%% Card 30 #2,,,56.64,$100.00
7/1/2022,WITHDRAWAL Debit Card<br />MEIJER # 036 877-363-4537 MI<br />Date 06/30/22 *6218*4015531 5411<br />%% Card 30 #2,,,221.68,$100.00
7/2/2022,Withdrawal Bill Payment #*100228<br />CONSUMERS ENERGY CO 800-477-5050 MI<br />%% Card 30 #2,,,54.84,$100.00
7/2/2022,WITHDRAWAL Debit Card<br />MEIJER # 199 877-363-4537 MI<br />Date 07/01/22 *6218*6834739 5411<br />%% Card 30 #2,,,23.29,$100.00
7/2/2022,WITHDRAWAL Debit Card<br />SHELL OIL *53508 CALEDONIA MI<br />Date 07/01/22 *5218*0562837 5542<br />%% Card 30 #2,,,100.00,$100.00
7/3/2022,Withdrawal Bill Payment #*150955<br />VESTA *AT&amp;T PREPAID 866-6083007 OR<br />%% Card 30 #1,,,44.80,$100.00
7/5/2022,WITHDRAWAL Debit Card<br />Spotify USA 877-7781161 NY<br />Date 07/05/22 *9218*1495850 4899<br />%% Card 30 #1,,,15.99,$100.00
7/5/2022,Withdrawal Bill Payment #*100308<br />GOOGLE *Disney Mobile 855-836-3987 CA<br />%% Card 30 #1,,,7.99,$100.00
7/6/2022,WITHDRAWAL #*536604<br />MEIJER 199 CALEDONIA MI<br />%% Card 30 #1,,,26.49,$100.00
7/6/2022,WITHDRAWAL #*582932<br />MEIJER 199 CALEDONIA MI<br />%% Card 30 #1,,,65.44,$100.00
7/6/2022,"WITHDRAWAL, DRAFT NUMBER 104<br />WITHDRAWAL, DRAFT NUMBER 104",,104,130.00,$100.00
7/7/2022,WITHDRAWAL #13258900<br />VRIESLAND COUNTRY STORE 6420 BYRON ROAD<br />ZEELAND MI<br />%% Card 30 #1,,,45.53,$100.00
7/7/2022,WITHDRAWAL #*259693<br />SQ *LA CREME CAFE SQUARE PURCHASE ZEELAND<br />MI<br />%% Card 30 #1,,,20.35,$100.00
7/7/2022,WITHDRAWAL Debit Card<br />Audible*PJ3HD6HR3 Amzn.com/bill NJ<br />Date 07/07/22 *6218*7580325 5968<br />%% Card 30 #1,,,14.95,$100.00
7/8/2022,WITHDRAWAL Debit Card<br />CELEBRATION CINEMA - GR 616-554-9966 MI<br />Date 07/08/22 *5218*7802584 7832<br />%% Card 30 #1,,,28.96,$100.00
7/9/2022,WITHDRAWAL Debit Card<br />CELEBRATION CINEMA - GR GRAND RAPIDS MI<br />Date 07/09/22 *9219*2091542 5812<br />%% Card 30 #2,,,23.71,$100.00
7/10/2022,WITHDRAWAL Debit Card<br />HOLLAND STATE PARK HOLLAND MI<br />Date 07/09/22 *2219*0580342 9399<br />%% Card 30 #1,,,17.00,$100.00
7/10/2022,WITHDRAWAL Debit Card<br />BIG LAKE BREWING HOLLAND MI<br />Date 07/09/22 *4219*6892486 5812<br />%% Card 30 #2,,,77.13,$100.00
